Spiral Bands,Eye of the Typhoon,Cloud Density and Structure,Cloud Temperature (Infrared Imagery),Rainbands,Wind Field Patterns,Symmetry,Color Gradients (Visible and Enhanced Imagery),Brightness and Contrast (Lightning Activity),Surrounding Environmental Features,Label
0.67643124,0.63529414,0.7966757015306123,0.67643106,0.010824043,0.5920148100936946,0.09383417,0.0,0.22012983,0.6577462284053395,1
0.88407165,0.9529412,0.9825613839285714,0.8840716,0.006343084,0.3478092374112861,0.047791615,0.0,0.10896442,0.7482082855605321,1
0.81197464,0.8039215,0.9243662308673469,0.81197476,0.0055499543,0.7599380244308495,0.07538508,0.0,0.182488,0.32795263395246577,1
0.8324733,0.8,0.9252232142857143,0.8324732,0.008085994,0.2843202326903923,0.08459962,0.0,0.16097417,0.3311471957755526,1
0.7089887,0.047058824,0.8032525510204082,0.7089888,0.011669902,0.7253300167287937,0.14378172,0.0,0.2203504,0.8384344485381162,1
0.69889736,0.42745098,0.8228236607142857,0.6988973,0.008965305,0.7793606142662031,0.11579445,0.0,0.19670893,0.525993667010082,1
0.8408499,0.89411765,0.9572704081632653,0.84085,0.0053421105,0.839381406671862,0.08855074,0.0,0.1462009,0.060827828717969656,1
0.78621435,0.9098039,0.8937938456632653,0.7862142,0.011011435,0.33992599595576034,0.10205057,0.0,0.1946874,0.938557608228337,1
0.57556796,0.19607843,0.6762197066326531,0.575568,0.01318147,0.3302961390243512,0.11750521,0.0,0.20679288,0.019242742613313046,1
0.5301686,0.654902,0.5,0.5301687,0.011578564,0.4513875921734163,0.10932279,0.0,0.22456762,0.9784511180447989,1
0.6649567,0.52156866,0.7517338966836735,0.6649567,0.0084247505,0.8173183985306751,0.090793885,0.0,0.19461033,0.8275260322156428,1
0.7631351,0.7529412,0.8780094068877551,0.76313514,0.011690249,0.41984657446206364,0.10625899,0.0,0.20402405,0.3060290849793744,1
0.63370645,0.59607846,0.761100924744898,0.6337065,0.0105928825,0.8716829937240049,0.104504764,0.0,0.19854654,0.8414668509457849,1
0.71036816,0.79607844,0.8380899234693877,0.7103683,0.009572319,0.7198714137884097,0.1159549,0.0,0.20249498,0.5773094208071279,1
0.7396991,0.79607844,0.8930165816326531,0.7396991,0.011761736,0.8790351663079745,0.10054834,0.0,0.17807716,0.8156611439709706,1
0.6859799,0.64705884,0.7623565051020408,0.6859799,0.012737516,0.6728595849381077,0.14173575,0.0,0.22910812,0.7596294696919178,1
0.65014124,0.5647059,0.8066007653061225,0.6501412,0.009748534,0.4693657362656972,0.07835001,0.0,0.19532506,0.04805347431073226,1
0.75197,0.8784314,0.8083545918367347,0.75197005,0.012429764,0.28908052127085637,0.16014858,0.0,0.23398255,0.7371100192221591,1
0.8128705,0.6901961,0.9942203443877551,0.81287044,0.0067841974,0.6269205215814453,0.035946406,0.0,0.10946894,0.15510186466313758,1
0.7096736,0.63529414,0.8571827168367347,0.70967364,0.009749942,0.7205569409193908,0.08671234,0.0,0.19177209,0.30025599813314485,1
0.64910406,0.6509804,0.7725406568877551,0.64910406,0.006028922,0.2265858989878471,0.09813902,0.0,0.19858786,0.4793663991874241,1
0.82588476,0.8627451,0.9690888073979592,0.8258847,0.0074788504,0.3353723778105041,0.07430503,0.0,0.12282479,0.1073030134931755,1
0.8166456,0.827451,0.9378188775510204,0.81664574,0.008858388,0.37944776415325443,0.08469699,0.0,0.15829596,0.21398604347846895,1
0.66293293,0.4392157,0.729133450255102,0.66293293,0.014436425,0.2680232387420969,0.12991096,0.0,0.2384491,0.20523376660211212,1
0.7218381,0.90588236,0.8091717155612245,0.72183806,0.007666973,0.6511377072272837,0.11256057,0.0,0.20318,0.6435982218836971,1
0.8224553,0.14117648,0.8776307397959183,0.82245535,0.0065671317,0.0588398473157965,0.09574956,0.0,0.20514776,0.7933664992564509,1
0.8538865,0.92156863,0.9198222257653061,0.85388637,0.009488222,0.9132622727528263,0.07866545,0.0,0.18332162,0.01556577652779656,1
0.6647108,0.7372549,0.8146524234693877,0.664711,0.00904604,0.6640993520160862,0.091136456,0.0,0.16782774,0.2684470711695378,1
0.66656345,0.8156863,0.7764070471938775,0.66656345,0.008577651,0.9959276192269115,0.121747375,0.0,0.20639935,0.9685947380240102,1
0.64315635,0.83137256,0.7192681760204082,0.6431563,0.009442891,0.6983904751054711,0.15766212,0.0,0.2594846,0.27707313334045136,1
0.7214267,0.79607844,0.8478156887755102,0.72142684,0.012802465,0.15476973462508437,0.10315352,0.0,0.2019355,0.7819615907879499,1
0.7205393,0.57254905,0.8336455676020408,0.7205395,0.010863642,0.8698135804328909,0.124692686,0.0,0.21218808,0.8172164095425676,1
0.7765218,0.78039217,0.9038783482142857,0.77652174,0.010213851,0.7136915542840911,0.09349356,0.0,0.1888731,0.8410991485742237,1
0.7648999,0.8784314,0.8569236288265306,0.76489985,0.010537365,0.1920471158563244,0.08788749,0.0,0.22024436,0.8482495972614208,1
0.67662245,0.3764706,0.7071906887755102,0.6766224,0.012578,0.06405697032218016,0.16486436,0.0,0.25670147,0.43122113887258284,1
0.5003317,0.6117647,0.5332429846938775,0.50033176,0.013803152,0.11797666072781188,0.087248646,0.0,0.19500351,0.1801900586466686,1
0.66978896,0.8,0.7666214923469388,0.66978896,0.010534629,0.7416651966628113,0.14980687,0.0,0.22500229,0.3703111283096846,1
0.6955205,0.84705883,0.7883450255102041,0.69552046,0.010712176,0.6726988984559745,0.12619588,0.0,0.23879255,0.2027645168340465,1
0.5540405,0.7568628,0.5446029974489796,0.55404043,0.01374727,0.3095304398009753,0.12437779,0.0,0.2524736,0.6218269210400248,1
0.6630077,0.45882353,0.7306281887755102,0.6630077,0.011265131,0.4851318863300539,0.14231256,0.0,0.22362177,0.43170261201868554,1
0.693568,0.53333336,0.7566565688775511,0.693568,0.012956382,0.928858493026421,0.14072244,0.0,0.23445632,0.14800351549858282,1
0.6243386,0.5686275,0.7542849170918368,0.6243385,0.008415293,0.20168856037460436,0.081905976,0.0,0.18152219,0.6776294213052588,1
0.73743016,0.8784314,0.8389867665816326,0.7374302,0.0075013596,0.8352327717898386,0.11757632,0.0,0.19610085,0.8887333843814494,1
0.57287675,0.8,0.6985212053571429,0.5728767,0.009296635,0.8692923793848406,0.11212681,0.0,0.18920814,0.11420214817498864,1
